Cluster,RNA Sequence
Cluster 661,rna-XM_041718362.1.19
Cluster 662,rna-XM_046940423.1.7
Cluster 663,rna-XM_046900799.1.36
Cluster 664,rna-XM_041720350.1.46
Cluster 665,rna-XM_030286651.3.24
Cluster 666,rna-XM_030291862.3.44
Cluster 667,rna-XM_030257799.3.7
Cluster 668,rna-XM_012572895.4.13
Cluster 669,rna-XM_046942130.1.5
Cluster 670,rna-XM_015282197.4.1
Cluster 671,rna-XM_015299097.4.59
Cluster 672,rna-XM_030256410.3.63
Cluster 673,rna-XM_040649791.2.28
Cluster 674,rna-XM_025148728.2.23
Cluster 675,rna-XM_041721432.1.67
Cluster 676,rna-XM_415522.8.17
Cluster 677,rna-XM_041718350.1.40
Cluster 678,rna-XM_040705223.2.10
Cluster 679,rna-XM_030266786.3.1
Cluster 680,rna-XM_015297827.4.51
Cluster 681,rna-XM_030266965.3.1
Cluster 682,rna-XM_041711961.1.362
Cluster 683,rna-XM_032752998.2.62
Cluster 684,rna-NM_001012897.2.5
Cluster 685,rna-XM_046938349.1.41
Cluster 686,rna-XM_030271480.3.3
Cluster 687,rna-XM_030266745.3.1
Cluster 688,rna-XM_015277481.4.6
Cluster 689,rna-XM_040649792.2.28
Cluster 690,rna-XM_030287785.3.27
Cluster 691,rna-XM_015290906.4.4
Cluster 692,rna-XM_001233853.7.6
Cluster 693,rna-NM_204809.5.14
Cluster 694,rna-XM_040651278.2.49
Cluster 695,rna-XM_015290004.4.8
Cluster 696,rna-XM_030272622.3.17
Cluster 697,rna-XM_030278108.3.25
Cluster 698,rna-XM_030276356.3.8
Cluster 699,rna-XM_418285.8.1
Cluster 700,rna-XM_040705270.2.32
Cluster 701,rna-XM_015295869.4.18
Cluster 702,rna-XM_030273845.3.6
Cluster 703,rna-XM_015282657.4.1
Cluster 704,rna-XM_004939297.5.1
Cluster 705,rna-XM_015287650.4.5
Cluster 706,rna-XM_030269169.3.2
Cluster 707,rna-XM_046905252.1.6
Cluster 708,rna-XM_004934358.5.22
Cluster 709,rna-XM_030268528.3.5
Cluster 710,rna-XM_004944732.5.13
Cluster 711,rna-XM_015275851.4.107
Cluster 712,rna-XM_015300162.4.70
Cluster 713,rna-XM_040698280.2.20
Cluster 714,rna-XM_040647467.1.15
Cluster 715,rna-XM_030268006.3.2
Cluster 716,rna-XM_041714184.1.1
Cluster 717,rna-XM_040649364.2.17
Cluster 718,rna-XM_030268408.3.2
Cluster 719,rna-XM_030270560.3.3
Cluster 720,rna-XM_015279797.4.17
Cluster 721,rna-XM_030270591.3.3
Cluster 722,rna-XM_030282223.3.20
Cluster 723,rna-XM_015298271.4.149
Cluster 724,rna-NM_001271903.3.41
Cluster 725,rna-XM_030290273.3.42
Cluster 726,rna-XM_040698456.2.23
Cluster 727,rna-XM_041713651.1.30
Cluster 728,rna-XM_015286057.3.82
Cluster 729,rna-XM_030265109.3.1
Cluster 730,rna-XM_004949723.5.100
Cluster 731,rna-XM_001234675.7.8
Cluster 732,rna-XM_015296597.4.38
Cluster 733,rna-XM_046940947.1.130
Cluster 734,rna-XM_046943905.1.8
Cluster 735,rna-XM_015281509.4.45
Cluster 736,rna-XM_030264787.3.110
Cluster 737,rna-XM_041716345.1.6
Cluster 738,rna-XM_040705481.2.2
Cluster 739,rna-XM_032751754.2.27
Cluster 740,rna-XM_004949388.5.6
Cluster 741,rna-XM_015283830.4.3
Cluster 742,rna-NM_204791.3.57
Cluster 743,rna-NM_001199657.2.5
Cluster 744,rna-XM_015296789.4.27
Cluster 745,rna-XM_030287397.3.55
Cluster 746,rna-XM_015295631.4.18
Cluster 747,rna-XM_040653906.2.343
Cluster 748,rna-XM_030278984.3.9
Cluster 749,rna-XM_015288826.4.9
Cluster 750,rna-XM_015288821.4.9
Cluster 751,rna-XM_041720965.1.31
Cluster 752,rna-XM_015285800.4.7
Cluster 753,rna-NM_001012882.2.3
Cluster 754,rna-XM_030291058.3.31
Cluster 755,rna-XM_046943188.1.9
Cluster 756,rna-XM_012574372.4.21
Cluster 757,rna-XM_046937851.1.1
Cluster 758,rna-XM_030267458.3.2
Cluster 759,rna-XM_041711247.1.7
Cluster 760,rna-XM_015294456.4.15
Cluster 761,rna-NM_001271947.2.6
Cluster 762,rna-XM_419580.8.20
Cluster 763,rna-XM_015296101.4.18
Cluster 764,rna-XM_040689290.2.41
Cluster 765,rna-NM_001277336.2.9
Cluster 766,rna-XM_030268169.3.2
Cluster 767,rna-XM_046940463.1.7
Cluster 768,rna-XM_040656019.2.72
Cluster 769,rna-XM_030270819.3.3
Cluster 770,rna-XM_046900555.1.68
Cluster 771,rna-XM_046904751.1.170
Cluster 772,rna-XM_015283769.4.39
Cluster 773,rna-XM_015279085.4.31
Cluster 774,rna-XM_040703134.2.9
Cluster 775,rna-XM_025153072.3.10
Cluster 776,rna-XM_030257875.3.41
Cluster 777,rna-XM_015273752.4.2
Cluster 778,rna-XM_015277181.4.12
Cluster 779,rna-XM_015290750.4.10
Cluster 780,rna-XM_015295526.4.76
Cluster 781,rna-XM_015284798.4.3
Cluster 782,rna-XM_025152142.2.8
Cluster 783,rna-XM_030276202.3.5
Cluster 784,rna-XM_015297140.4.49
Cluster 785,rna-XM_032749804.2.9
Cluster 786,rna-XM_041711654.1.1527
Cluster 787,rna-XM_030257708.3.7
Cluster 788,rna-NM_001031029.2.81
Cluster 789,rna-NM_001389509.2.5
Cluster 790,rna-XM_032752100.2.46
Cluster 791,rna-XM_046903578.1.51
Cluster 792,rna-XM_040695121.1.1
Cluster 793,rna-XM_046901200.1.50
Cluster 794,rna-XM_416881.8.11
Cluster 795,rna-XM_003640916.6.23
Cluster 796,rna-XM_025144201.3.85
Cluster 797,rna-XM_030281486.3.48
Cluster 798,rna-XM_041720868.1.31
Cluster 799,rna-XM_046903403.1.58
Cluster 800,rna-XM_015294218.4.68
Cluster 801,rna-XM_030282085.3.20
Cluster 802,rna-XM_015277164.4.75
Cluster 803,rna-XM_041716216.1.36
Cluster 804,rna-XM_025144467.3.614
Cluster 805,rna-XM_025144725.3.11
Cluster 806,rna-XM_420820.8.7
Cluster 807,rna-XM_001232428.7.15
Cluster 808,rna-XM_041711529.1.74
Cluster 809,rna-XM_030282374.3.5
Cluster 810,rna-XM_030280029.3.12
Cluster 811,rna-XM_030286831.3.24
Cluster 812,rna-XM_030282921.3.58
Cluster 813,rna-XM_015296242.3.87
Cluster 814,rna-XM_040671008.2.2
Cluster 815,rna-XM_046942483.1.5
Cluster 816,rna-XM_040648410.2.93
Cluster 817,rna-XM_030260656.3.4
Cluster 818,rna-XM_002198977.6.6
Cluster 819,rna-NM_001390848.2.60
Cluster 820,rna-XM_040668418.2.4
Cluster 821,rna-XM_041719342.1.26
Cluster 822,rna-XM_015284072.4.4
Cluster 823,rna-XM_030276034.3.8
Cluster 824,rna-XM_030290770.3.31
Cluster 825,rna-XM_030282540.3.20
Cluster 826,rna-NM_001397316.1.35
Cluster 827,rna-XM_025142589.3.89
Cluster 828,rna-XM_040698646.2.33
Cluster 829,rna-XM_015290351.4.32
Cluster 830,rna-XM_046902532.1.18
Cluster 831,rna-XM_002191958.6.11
Cluster 832,rna-XM_030279028.3.9
Cluster 833,rna-NM_001389447.2.34
Cluster 834,rna-XM_032743966.2.37
Cluster 835,rna-XM_041720538.1.15
Cluster 836,rna-XM_015299405.4.85
Cluster 837,rna-XM_041719960.1.27
Cluster 838,rna-XM_419931.8.3
Cluster 839,rna-XM_015299389.4.85
Cluster 840,rna-XM_046901706.1.17
Cluster 841,rna-XM_004948991.5.6
Cluster 842,rna-NM_001397650.1.26
Cluster 843,rna-XM_025142810.3.93
Cluster 844,rna-XM_015293099.4.13
Cluster 845,rna-NM_001105666.2.4
Cluster 846,rna-XM_025144009.3.57
Cluster 847,rna-XM_032748408.2.36
Cluster 848,rna-XM_030270043.3.2
Cluster 849,rna-XM_030257596.3.7
Cluster 850,rna-XM_015292045.4.14
Cluster 851,rna-XM_041721072.1.62
Cluster 852,rna-XM_046938194.1.62
Cluster 853,rna-XM_025151347.3.131
Cluster 854,rna-XM_040704928.2.36
Cluster 855,rna-XM_030287250.3.29
Cluster 856,rna-XM_004939819.5.1
Cluster 857,rna-XM_004944808.5.37
Cluster 858,rna-XM_040698193.2.3
Cluster 859,rna-XM_046903511.1.114
Cluster 860,rna-XM_040648396.2.93
Cluster 861,rna-XM_030280491.3.12
Cluster 862,rna-XM_003642804.6.57
Cluster 863,rna-XM_041713689.1.4
Cluster 864,rna-NM_205226.3.93
Cluster 865,rna-NM_001004392.3.38
Cluster 866,rna-XM_030283495.3.58
Cluster 867,rna-NM_001348560.3.26
Cluster 868,rna-XM_030275014.3.6
Cluster 869,rna-XM_025155258.3.15
Cluster 870,rna-XM_015291868.4.31
Cluster 871,rna-XM_015279515.4.2
Cluster 872,rna-XM_030288435.3.18
Cluster 873,rna-XM_030292158.3.56
Cluster 874,rna-XM_041720954.1.31
Cluster 875,rna-XM_030273447.3.6
Cluster 876,rna-XM_032746917.2.1
Cluster 877,rna-XM_030281518.3.5
Cluster 878,rna-XM_032751993.2.4
Cluster 879,rna-XM_030281052.3.48
Cluster 880,rna-XM_030257677.3.28
Cluster 881,rna-XM_025147995.3.1
Cluster 882,rna-NM_205380.3.35
Cluster 883,rna-XM_046901876.1.833
Cluster 884,rna-XM_012576451.4.16
Cluster 885,rna-NM_001396014.1.243
Cluster 886,rna-XM_015275969.4.1
Cluster 887,rna-XM_046938513.1.3
Cluster 888,rna-NM_206983.2.8
Cluster 889,rna-XM_030291737.3.44
Cluster 890,rna-XM_041713494.1.4
Cluster 891,rna-NM_001319007.2.1
Cluster 892,rna-XM_015297847.4.51
Cluster 893,rna-XM_030268889.3.49
Cluster 894,rna-NM_001277996.2.14
Cluster 895,rna-XM_032748382.2.36
Cluster 896,rna-XM_032750342.2.48
Cluster 897,rna-XM_012573895.4.6
Cluster 898,rna-XM_030279156.3.9
Cluster 899,rna-XM_030288007.3.27
Cluster 900,rna-XM_004938104.5.93
Cluster 901,rna-XM_040695588.1.1
Cluster 902,rna-NM_001396622.1.57
Cluster 903,rna-XM_015292145.4.14
Cluster 904,rna-XM_046903338.1.152
Cluster 905,rna-XM_030282983.3.13
Cluster 906,rna-XM_030275794.3.10
Cluster 907,rna-XM_041718624.1.20
Cluster 908,rna-XM_046933205.1.1
Cluster 909,rna-XM_004937623.5.4
Cluster 910,rna-XM_030272153.3.3
Cluster 911,rna-XM_040697938.2.3
Cluster 912,rna-NM_001319013.2.1
Cluster 913,rna-XM_030274538.3.6
Cluster 914,rna-XM_030257361.3.7
Cluster 915,rna-XM_040700089.2.2
Cluster 916,rna-XM_030274700.3.6
Cluster 917,rna-XM_416776.7.2
Cluster 918,rna-XM_046899064.1.93
Cluster 919,rna-XM_025144921.3.339
Cluster 920,rna-XM_030279873.3.12
Cluster 921,rna-XM_030288579.3.18
Cluster 922,rna-NM_204960.3.6
Cluster 923,rna-XM_030270016.3.2
Cluster 924,rna-XM_004941626.4.5
Cluster 925,rna-XM_015285046.3.3
Cluster 926,rna-XM_046944989.1.32
Cluster 927,rna-XM_030265150.3.1
Cluster 928,rna-XM_030258440.3.22
Cluster 929,rna-XM_015294873.4.22
Cluster 930,rna-XM_015296157.3.18
Cluster 931,rna-XM_030281956.3.19
Cluster 932,rna-XM_015283990.4.4
Cluster 933,rna-XM_424972.8.6
Cluster 934,rna-XM_040700030.2.61
Cluster 935,rna-XM_025142567.3.89
Cluster 936,rna-XM_030265866.3.1
Cluster 937,rna-XM_030279426.3.9
Cluster 938,rna-XM_015285098.4.40
Cluster 939,rna-XM_004944629.5.13
Cluster 940,rna-XM_420722.8.7
Cluster 941,rna-XM_041719610.1.24
Cluster 942,rna-NM_001044639.3.36
Cluster 943,rna-XM_004946547.5.18
Cluster 944,rna-XM_015280319.3.6
Cluster 945,rna-XM_030270690.3.3
Cluster 946,rna-XM_002193162.4.42
Cluster 947,rna-XM_015292750.4.42
Cluster 948,rna-XM_030270573.3.3
Cluster 949,rna-XM_030271385.3.3
Cluster 950,rna-XM_041721615.1.37
Cluster 951,rna-XM_030283876.3.21
Cluster 952,rna-NM_001319006.2.1
Cluster 953,rna-XM_025152032.3.2
Cluster 954,rna-XM_025148187.3.1
Cluster 955,rna-XM_030258845.3.7
Cluster 956,rna-XM_015298293.4.11
Cluster 957,rna-XM_040700556.2.5
Cluster 958,rna-XM_030266100.3.1
Cluster 959,rna-XM_040705225.2.10
Cluster 960,rna-XM_041712275.1.524
Cluster 961,rna-NM_001397242.1.31
Cluster 962,rna-XM_040699017.2.7
Cluster 963,rna-XM_040699592.2.24
Cluster 964,rna-XM_015299953.4.84
Cluster 965,rna-XM_030267259.3.2
Cluster 966,rna-XM_041718946.1.21
Cluster 967,rna-XM_040646301.2.13
Cluster 968,rna-XM_025142180.3.38
Cluster 969,rna-XM_030256698.3.84
Cluster 970,rna-XM_030265746.3.1
Cluster 971,rna-XM_046909814.1.2
Cluster 972,rna-XM_041721014.1.95
Cluster 973,rna-XM_015296920.4.89
Cluster 974,rna-NM_204740.2.84
Cluster 975,rna-XM_025154722.3.13
Cluster 976,rna-XM_030279566.3.9
Cluster 977,rna-XM_015275336.4.22
Cluster 978,rna-XM_417421.8.38
Cluster 979,rna-XM_004947585.5.58
Cluster 980,rna-XM_015286323.4.101
Cluster 981,rna-XM_041711775.1.92
Cluster 982,rna-XM_004945542.5.22
Cluster 983,rna-XM_030287256.3.29
Cluster 984,rna-XM_414022.8.21
Cluster 985,rna-XM_030291473.3.62
Cluster 986,rna-XM_417117.7.2
Cluster 987,rna-XM_040702400.2.9
Cluster 988,rna-XM_421787.8.9
Cluster 989,rna-XM_040701452.2.142
Cluster 990,rna-XM_004941776.5.5
Cluster 991,rna-XM_040646369.2.13
Cluster 992,rna-XM_015277172.4.12
Cluster 993,rna-XM_041715160.1.2
Cluster 994,rna-XM_002188251.6.3
Cluster 995,rna-XM_030263780.3.4
Cluster 996,rna-XM_004937197.5.6
Cluster 997,rna-XM_040698179.2.55
Cluster 998,rna-XM_015277799.4.11
Cluster 999,rna-XM_025147035.3.1
Cluster 1000,rna-XM_041711306.1.4
Cluster 1001,rna-XM_030281671.3.19
Cluster 1002,rna-NM_001396195.1.10
Cluster 1003,rna-XM_012572634.4.2
Cluster 1004,rna-XM_001234902.7.3
Cluster 1005,rna-XM_040684275.2.1
Cluster 1006,rna-XM_040646995.2.19
Cluster 1007,rna-NM_001293093.2.19
Cluster 1008,rna-XM_004944212.5.21
Cluster 1009,rna-XM_030266873.3.5
Cluster 1010,rna-XM_424198.8.110
Cluster 1011,rna-XM_030263734.3.4
Cluster 1012,rna-XM_004946273.5.28
Cluster 1013,rna-XM_015287093.4.5
Cluster 1014,rna-XM_040647777.2.95
Cluster 1015,rna-XM_030271525.3.3
Cluster 1016,rna-XM_046943443.1.8
Cluster 1017,rna-XM_015277570.4.6
Cluster 1018,rna-XM_030257287.3.28
Cluster 1019,rna-XM_030267314.3.2
Cluster 1020,rna-XM_041720396.1.46
Cluster 1021,rna-XM_025153737.3.12
Cluster 1022,rna-XM_015298906.4.59
Cluster 1023,rna-XM_415836.7.18
Cluster 1024,rna-XM_030278315.3.11
Cluster 1025,rna-XM_041711646.1.170
Cluster 1026,rna-XM_015279496.3.17
Cluster 1027,rna-XM_030266065.3.1
Cluster 1028,rna-NM_001079714.2.1
Cluster 1029,rna-XM_004950824.5.1007
Cluster 1030,rna-NM_205032.3.14
Cluster 1031,rna-XM_025153291.3.12
Cluster 1032,rna-XM_015284184.4.23
Cluster 1033,rna-XM_040647877.2.15
Cluster 1034,rna-XM_004939441.5.1
Cluster 1035,rna-XM_015292039.4.14
Cluster 1036,rna-XM_030275442.3.6
Cluster 1037,rna-XM_041720845.1.42
Cluster 1038,rna-NM_205127.2.128
Cluster 1039,rna-XM_015295464.4.76
Cluster 1040,rna-XM_004936387.5.5
Cluster 1041,rna-XM_030273805.3.6
Cluster 1042,rna-XM_004940418.5.3
Cluster 1043,rna-XM_004938475.5.11
Cluster 1044,rna-XM_030257815.3.7
Cluster 1045,rna-XM_001233398.7.70
Cluster 1046,rna-NM_205276.4.10
Cluster 1047,rna-XM_030275219.3.6
Cluster 1048,rna-XM_030277722.3.11
Cluster 1049,rna-XM_046939034.1.40
Cluster 1050,rna-NM_001396425.1.3
Cluster 1051,rna-XM_015279116.4.2
Cluster 1052,rna-XM_040701909.2.5
Cluster 1053,rna-XM_030257528.3.28
Cluster 1054,rna-XM_015298228.4.77
Cluster 1055,rna-XM_046901318.1.22
Cluster 1056,rna-XM_025148359.3.1
Cluster 1057,rna-XM_004176725.5.11
Cluster 1058,rna-XM_040699601.2.2
Cluster 1059,rna-XM_041712459.1.203
Cluster 1060,rna-XM_030275680.3.10
Cluster 1061,rna-XM_015300273.4.100
Cluster 1062,rna-XM_046941546.1.101
Cluster 1063,rna-XM_030290490.3.42
Cluster 1064,rna-XM_030282377.3.20
Cluster 1065,rna-NM_001004368.2.7
Cluster 1066,rna-XM_046942882.1.9
Cluster 1067,rna-NM_204630.3.15
Cluster 1068,rna-XM_030278424.3.11
Cluster 1069,rna-XM_004947453.5.49
Cluster 1070,rna-XM_015285844.4.7
Cluster 1071,rna-XM_025147506.3.65
Cluster 1072,rna-XM_015285660.4.7
Cluster 1073,rna-XM_015281919.4.1
Cluster 1074,rna-XM_046943344.1.99
Cluster 1075,rna-XM_015301938.4.15
Cluster 1076,rna-XM_041716368.1.6
Cluster 1077,rna-NM_001114851.2.14
Cluster 1078,rna-XM_025155292.3.95
Cluster 1079,rna-XM_030284798.3.16
Cluster 1080,rna-XM_030286352.3.24
Cluster 1081,rna-XM_041720662.1.90
Cluster 1082,rna-XM_012578275.4.24
Cluster 1083,rna-XM_015281027.4.1
Cluster 1084,rna-XM_015276711.4.46
Cluster 1085,rna-NM_001396361.1.1
Cluster 1086,rna-XM_046939253.1.23
Cluster 1087,rna-XM_025143912.3.59
Cluster 1088,rna-XM_030286893.3.24
Cluster 1089,rna-XM_015294502.4.15
Cluster 1090,rna-XM_040701914.2.5
Cluster 1091,rna-XM_030285005.3.16
Cluster 1092,rna-XM_040656107.2.4
Cluster 1093,rna-XM_040667005.2.36
Cluster 1094,rna-XM_025147369.3.132
Cluster 1095,rna-XM_025147404.3.132
Cluster 1096,rna-XM_015276737.4.71
Cluster 1097,rna-XM_003640489.6.2
Cluster 1098,rna-XM_041711963.1.665
Cluster 1099,rna-XM_015287390.4.5
Cluster 1100,rna-XM_046906214.1.11
Cluster 1101,rna-XM_030275845.3.10
Cluster 1102,rna-XM_040699067.2.7
Cluster 1103,rna-XM_001235688.6.5
Cluster 1104,rna-NM_204252.2.2
Cluster 1105,rna-XM_030283504.3.58
Cluster 1106,rna-XM_030281711.3.5
Cluster 1107,rna-XM_046938338.1.1
Cluster 1108,rna-XM_426613.8.32
Cluster 1109,rna-XM_030287547.3.29
Cluster 1110,rna-XM_041719996.1.27
Cluster 1111,rna-XM_046901868.1.17
Cluster 1112,rna-XM_015277188.4.12
Cluster 1113,rna-XM_015281858.4.1
Cluster 1114,rna-XM_004942303.5.9
Cluster 1115,rna-XM_424873.8.54
Cluster 1116,rna-XM_420763.8.7
Cluster 1117,rna-XM_012572763.4.2
Cluster 1118,rna-NM_001079749.3.7
Cluster 1119,rna-XM_004944184.5.21
Cluster 1120,rna-XM_003640931.6.110
Cluster 1121,rna-XM_030280418.3.12
Cluster 1122,rna-XM_030281634.3.48
Cluster 1123,rna-NM_001277750.2.4
Cluster 1124,rna-XM_046903193.1.187
Cluster 1125,rna-XM_041713985.1.1
Cluster 1126,rna-XM_030276240.3.8
Cluster 1127,rna-XM_040651377.2.78
Cluster 1128,rna-XM_015278582.4.33
Cluster 1129,rna-XM_030283711.3.21
Cluster 1130,rna-NM_001397011.1.9
Cluster 1131,rna-XM_418790.7.1
Cluster 1132,rna-XM_030278406.3.11
Cluster 1133,rna-XM_003642274.6.17
Cluster 1134,rna-XM_015283037.4.1
Cluster 1135,rna-NM_001198556.2.69
Cluster 1136,rna-XM_012573476.4.3
Cluster 1137,rna-XM_030287900.3.27
Cluster 1138,rna-XM_025145279.3.122
Cluster 1139,rna-XM_004947130.5.38
Cluster 1140,rna-XM_046899381.1.21
Cluster 1141,rna-XM_004945015.5.19
Cluster 1142,rna-XM_015279172.4.21
Cluster 1143,rna-XM_003640986.6.20
Cluster 1144,rna-XM_015291877.4.31
Cluster 1145,rna-XM_030274392.3.10
Cluster 1146,rna-XM_040652639.2.105
Cluster 1147,rna-XM_030280715.3.32
Cluster 1148,rna-XM_046938419.1.3
Cluster 1149,rna-XM_420137.8.130
Cluster 1150,rna-XM_040698564.1.3
Cluster 1151,rna-XM_032748893.2.6
Cluster 1152,rna-XM_015278622.4.33
Cluster 1153,rna-XM_004943258.5.10
Cluster 1154,rna-XM_030287348.3.29
Cluster 1155,rna-NM_001048079.2.8
Cluster 1156,rna-XM_015299638.4.57
Cluster 1157,rna-XM_012571955.4.1
Cluster 1158,rna-XM_040702834.2.9
Cluster 1159,rna-XM_421912.8.8
Cluster 1160,rna-XM_041715835.1.3
Cluster 1161,rna-XM_030265621.3.14
Cluster 1162,rna-XM_030255970.3.15
Cluster 1163,rna-XM_015287507.4.5
Cluster 1164,rna-XM_046942522.1.5
Cluster 1165,rna-XM_015297424.4.58
Cluster 1166,rna-XM_030279142.3.9
Cluster 1167,rna-XM_030281185.3.48
Cluster 1168,rna-XM_030270442.3.3
Cluster 1169,rna-XM_003641826.6.14
Cluster 1170,rna-XM_030278814.3.9
Cluster 1171,rna-XM_015277397.4.123
Cluster 1172,rna-XM_015278900.4.31
Cluster 1173,rna-XM_004939295.5.1
Cluster 1174,rna-XM_015286483.4.5
Cluster 1175,rna-XM_015297566.4.4
Cluster 1176,rna-XM_046903499.1.58
Cluster 1177,rna-XM_041719727.1.24
Cluster 1178,rna-XM_015280546.4.6
Cluster 1179,rna-XM_025153965.3.4
Cluster 1180,rna-XM_030282272.3.20
Cluster 1181,rna-XM_004937901.5.47
Cluster 1182,rna-XM_004938670.5.2
Cluster 1183,rna-XM_030280199.3.12
Cluster 1184,rna-XM_030257942.3.15
Cluster 1185,rna-XM_015295118.4.34
Cluster 1186,rna-XM_004945555.5.22
Cluster 1187,rna-XM_040703676.2.8
Cluster 1188,rna-XM_046939691.1.3
Cluster 1189,rna-XM_030291221.3.62
Cluster 1190,rna-XM_004943437.5.12
Cluster 1191,rna-XM_046938450.1.4
Cluster 1192,rna-XM_030283417.3.13
Cluster 1193,rna-XM_015291121.4.10
Cluster 1194,rna-XM_012573138.4.17
Cluster 1195,rna-XM_015296747.4.27
Cluster 1196,rna-XM_046898495.1.12
Cluster 1197,rna-XM_041717245.1.68
Cluster 1198,rna-XM_030275392.3.6
Cluster 1199,rna-XM_030265892.3.1
Cluster 1200,rna-XM_041715946.1.3
Cluster 1201,rna-NM_001167732.2.57
Cluster 1202,rna-XM_004939783.5.1
Cluster 1203,rna-XM_041712547.1.113
Cluster 1204,rna-XM_030271178.3.3
Cluster 1205,rna-XM_041719345.1.5
Cluster 1206,rna-XM_015277035.4.2
Cluster 1207,rna-XM_004941230.5.24
Cluster 1208,rna-XM_046939020.1.20
Cluster 1209,rna-XM_046940281.1.7
Cluster 1210,rna-XM_040698858.2.33
Cluster 1211,rna-XM_015280215.4.6
Cluster 1212,rna-XM_030291672.3.62
Cluster 1213,rna-XM_040653176.2.57
Cluster 1214,rna-XM_046939853.1.117
Cluster 1215,rna-XM_015277791.4.11
Cluster 1216,rna-XM_004947188.5.38
Cluster 1217,rna-XM_015289552.4.8
Cluster 1218,rna-XM_030261113.3.4
Cluster 1219,rna-XM_030263537.3.4
Cluster 1220,rna-XM_015286987.4.5
Cluster 1221,rna-XM_418419.8.1
Cluster 1222,rna-XM_427387.8.105
Cluster 1223,rna-XM_040704277.2.8
Cluster 1224,rna-XM_030264991.3.1
Cluster 1225,rna-NM_204122.3.26
Cluster 1226,rna-XM_015276822.3.120
Cluster 1227,rna-XM_015279312.4.17
Cluster 1228,rna-XM_003640505.6.2
Cluster 1229,rna-XM_012574205.4.45
Cluster 1230,rna-NM_001031104.2.20
Cluster 1231,rna-XM_004940948.5.7
Cluster 1232,rna-NM_001030635.2.15
Cluster 1233,rna-XM_040707174.2.16
Cluster 1234,rna-XM_015295619.3.28
Cluster 1235,rna-XM_030282341.3.94
Cluster 1236,rna-XM_032750862.2.21
Cluster 1237,rna-XM_025151796.3.9
Cluster 1238,rna-XM_002200095.5.6
Cluster 1239,rna-XM_041714120.1.1
Cluster 1240,rna-XM_004945776.5.17
Cluster 1241,rna-NM_204647.2.1
Cluster 1242,rna-XM_004938558.4.2
Cluster 1243,rna-XM_030274138.3.6
Cluster 1244,rna-XM_030256585.3.93
Cluster 1245,rna-XM_032752718.2.31
Cluster 1246,rna-XM_041718127.1.12
Cluster 1247,rna-XM_416329.8.4
Cluster 1248,rna-XM_041718465.1.19
Cluster 1249,rna-XM_015291353.4.90
Cluster 1250,rna-XM_040646614.2.42
Cluster 1251,rna-XM_030278425.3.5
Cluster 1252,rna-XM_040698268.2.20
Cluster 1253,rna-XM_040703313.2.35
Cluster 1254,rna-XM_422397.8.10
Cluster 1255,rna-XM_040652763.2.1598
Cluster 1256,rna-XM_004944952.5.19
Cluster 1257,rna-NM_001001292.2.79
Cluster 1258,rna-XM_040655500.2.6
Cluster 1259,rna-XM_046900440.1.19
Cluster 1260,rna-XM_422229.7.32
Cluster 1261,rna-NM_001396538.1.3
Cluster 1262,rna-XM_416167.8.4
Cluster 1263,rna-XM_015293170.4.13
Cluster 1264,rna-XM_015289705.4.8
Cluster 1265,rna-XM_046905587.1.29
Cluster 1266,rna-XM_015288973.4.9
Cluster 1267,rna-XM_416467.8.4
Cluster 1268,rna-XM_030257413.3.7
Cluster 1269,rna-XM_015289069.4.35
Cluster 1270,rna-XM_015281358.4.1
Cluster 1271,rna-XM_015278098.4.25
Cluster 1272,rna-XM_041720338.1.54
Cluster 1273,rna-XM_015279791.4.2
Cluster 1274,rna-XM_040691113.2.1
Cluster 1275,rna-XM_004940598.5.130
Cluster 1276,rna-XM_025145488.3.122
Cluster 1277,rna-XM_418437.8.1
Cluster 1278,rna-XM_015300114.4.84
Cluster 1279,rna-XM_040649444.2.36
Cluster 1280,rna-XM_004936032.5.7
Cluster 1281,rna-XM_030283103.3.13
Cluster 1282,rna-XM_025144341.3.86
Cluster 1283,rna-XM_046942783.1.9
Cluster 1284,rna-XM_041720526.1.47
Cluster 1285,rna-XM_012574573.4.8
Cluster 1286,rna-XM_003641265.6.24
Cluster 1287,rna-XM_040653044.2.88
Cluster 1288,rna-XM_032749738.2.5
Cluster 1289,rna-XM_414452.7.13
Cluster 1290,rna-XM_041717414.1.571
Cluster 1291,rna-XM_030264087.3.1
Cluster 1292,rna-XM_012574474.4.8
Cluster 1293,rna-XM_030266482.3.1
